AREA,CROP,YEAR,VALUE,AREA_ENCODED,CROP_ENCODED,PREDICTED,ERROR,SUSPICIOUS
Africa,Wheat,2016,23512.16646683415,0,5,42226.875254574,18714.708787739848,True
South America,Rice,2012,61181.54498563161,5,2,55642.54851264553,5538.99647298608,False
Oceania,Wheat,2019,38551.26414016933,4,5,47256.44421267905,8705.18007250972,False
Europe,Soybean,2003,74680.7155324856,2,3,54930.26839902252,19750.44713346308,False
Africa,Soybean,2009,21352.401029188117,0,3,48047.16198908398,26694.760959895862,True
North America,Barley,2002,78991.19898273474,3,0,59821.71515428019,19169.483828454555,False
Europe,Rice,2008,60768.43164128376,2,2,52889.64691127348,7878.78473001028,False
North America,Sugarcane,2012,12312.462705513088,3,4,50510.91338173277,38198.45067621968,True
Asia,Barley,2017,42035.95383615914,1,0,47696.6224272782,5660.668591119058,False
Europe,Rice,2014,86488.29592068274,2,2,49394.98936656467,37093.30655411807,True
Africa,Barley,2003,92373.06294805,0,0,54156.598932317225,38216.46401573278,True
Europe,Sugarcane,2014,47104.3121095625,2,4,47651.80310088163,547.4909913191295,False
Europe,Corn,2001,48602.86083081828,2,1,57838.340512941824,9235.479682123543,False
Europe,Corn,2014,91927.01776899082,2,1,50266.58249940607,41660.43526958475,True
Oceania,Corn,2007,59119.75418952016,4,1,57732.13183346274,1387.6223560574144,False
Europe,Corn,2007,4251.820354100397,2,1,54343.68296823301,50091.86261413262,True
North America,Wheat,2016,91362.19682503377,3,5,47309.54855241859,44052.64827261517,True
Asia,Corn,2011,25574.417832958035,1,1,50319.68683914561,24745.269006187573,True
South America,Sugarcane,2018,58185.56345506317,5,4,50404.704702253686,7780.858752809487,False
Europe,Soybean,2009,17385.81842536941,2,3,51435.61085431371,34049.7924289443,True
Africa,Soybean,2008,4354.036864412903,0,3,48629.604913202114,44275.56804878921,True
Europe,Wheat,2004,31835.843942142983,2,5,52604.63920922135,20768.795267078367,True
Africa,Corn,2005,78269.07504706268,0,1,52120.119951239554,26148.955095823127,True
North America,Corn,2019,28481.1300903124,3,1,49048.59231143026,20567.462221117858,True
Africa,Corn,2001,22789.62419402861,0,1,54449.891647712095,31660.267453683486,True
South America,Barley,2012,22055.3976497814,5,0,57385.734778328566,35330.337128547166,True
Asia,Rice,2005,52002.194558274445,1,2,52942.75125101302,940.5566927385735,False
Africa,Barley,2004,97578.59025259288,0,0,53574.15600819909,44004.43424439379,True
Africa,Rice,2000,46439.909813684295,0,2,54160.74143898883,7720.831625304534,False
Asia,Corn,2020,56173.23152011474,1,1,45077.70052208239,11095.53099803235,False
South America,Corn,2020,86202.56977118267,5,1,51854.59825254185,34347.971518640814,True
Europe,Barley,2005,53971.9021744322,2,0,56380.16194931092,2408.2597748787157,False
Africa,Barley,2005,19261.824270466757,0,0,52991.713084080955,33729.8888136142,True
Asia,Rice,2015,30659.99526488123,1,2,47118.322009831434,16458.326744950205,True
North America,Soybean,2003,31683.75570059248,3,3,56624.492831637384,24940.737131044905,True
Asia,Rice,2010,40334.49343030219,1,2,50030.53663042234,9696.043200120155,False
North America,Barley,2008,43252.10162833819,3,0,56327.05760957138,13074.955981233186,True
South America,Sugarcane,2002,80178.42018535268,5,4,59723.79148814385,20454.628697208827,False
Europe,Barley,2018,35589.31290588397,2,0,48808.40393577493,13219.091029890958,True
Asia,Sugarcane,2007,47354.95101569656,1,4,50034.67913709371,2679.728121397151,False
Oceania,Wheat,2004,62872.622718054175,4,5,55993.08807445108,6879.534643603096,False
Africa,Barley,2003,38394.86879657676,0,0,54156.598932317225,15761.730135740465,True
South America,Wheat,2005,83819.91651594096,5,5,57104.86958294804,26715.04693299292,True
Asia,Soybean,2001,59157.90681917336,1,3,54400.929814643925,4756.977004529435,False
Africa,Rice,2019,30110.423242876182,0,2,43094.32588074403,12983.902637867846,True
Asia,Sugarcane,2010,71691.860779193,1,4,48287.35036473931,23404.51041445369,True
North America,Rice,2003,53237.1252843338,3,2,57496.08596447902,4258.960680145217,False
Asia,Wheat,2014,53911.133234467445,1,5,45085.985535425134,8825.14769904231,False
Oceania,Sugarcane,2005,48627.70689037101,4,4,56282.23828317458,7654.531392803568,False
Asia,Rice,2016,50204.18293330365,1,2,46535.8790857133,3668.3038475903522,False
Asia,Barley,2005,76770.27182555782,1,0,54685.93751669605,22084.33430886177,False
Oceania,Corn,2018,11195.166453800235,4,1,51325.25966816326,40130.09321436302,True
South America,Wheat,2001,34101.918319737735,5,5,59434.64127942058,25332.722959682847,True
Asia,Rice,2014,8474.833016585033,1,2,47700.7649339498,39225.93191736477,True
Oceania,Wheat,2010,75571.37585399764,4,5,52498.43052974227,23072.94532425537,True
Africa,Wheat,2007,27957.88361730965,0,5,47468.861571637215,19510.977954327565,True
North America,Sugarcane,2018,89845.61057206953,3,4,47016.25583702396,42829.35473504558,True
North America,Sugarcane,2012,53131.26819927008,3,4,50510.91338173277,2620.3548175373144,False
Asia,Corn,2011,80274.22737712598,1,1,50319.68683914561,29954.54053798037,True
South America,Barley,2004,97914.21212598016,5,0,62045.27817127365,35868.93395470652,True
South America,Wheat,2005,84139.09708620049,5,5,57104.86958294804,27034.22750325245,True
Africa,Rice,2003,86832.38224114083,0,2,52413.412666634424,34418.96957450641,True
Asia,Soybean,2018,41390.46504111963,1,3,44499.40010463563,3108.935063516001,False
North America,Wheat,2019,55620.53693067464,3,5,45562.21978006419,10058.317150610455,False
South America,Wheat,2000,26134.967840287125,5,5,60017.08420353872,33882.116363251596,True
Asia,Corn,2019,20415.196869651827,1,1,45660.14344620053,25244.9465765487,True
South America,Barley,2016,51045.28003149734,5,0,55055.963081856025,4010.6830503586825,False
Oceania,Soybean,2011,59909.84899034164,4,3,53659.17387130717,6250.675119034473,False
South America,Sugarcane,2014,34587.853343722905,5,4,52734.47639872623,18146.62305500332,True
North America,Sugarcane,2000,57374.90825858653,3,4,57500.22847115039,125.32021256385633,False
Europe,Rice,2013,88858.58776883679,2,2,49977.4322906828,38881.15547815399,True
Africa,Soybean,2005,56115.43689355324,0,3,50376.93368555652,5738.50320799672,False
Africa,Sugarcane,2004,72360.49653474016,0,4,50087.783476833254,22272.713057906905,True
North America,Rice,2010,80726.18176843261,3,2,53418.98549565207,27307.196272780537,True
South America,Barley,2003,98884.14941358884,5,0,62627.72109539178,36256.42831819705,True
Asia,Rice,2012,60716.54281552098,1,2,48865.65078218607,11850.892033334909,False
South America,Sugarcane,2010,80878.16474729602,5,4,55064.24809519877,25813.91665209725,True
North America,Corn,2002,96302.2825369326,3,1,58950.122021438554,37352.16051549405,True
Africa,Corn,2000,94496.56283215008,0,1,55032.33457183023,39464.228260319855,True
South America,Corn,2005,14967.103028993644,5,1,60591.24211431388,45624.13908532023,True
Africa,Sugarcane,2017,41232.83851907868,0,4,42516.025463297265,1283.1869442185853,False
Asia,Corn,2009,33075.01604957316,1,1,51484.57268738188,18409.556637808717,True
Africa,Soybean,2004,9605.576480084585,0,3,50959.376609674655,41353.80012959007,True
Africa,Barley,2009,63690.83671618509,0,0,50661.941387608415,13028.895328576677,False
Europe,Rice,2011,73854.55670640423,2,2,51142.31813891907,22712.238567485154,True
Europe,Rice,2001,84964.68145122146,2,2,56966.74738010042,27997.93407112104,True
Oceania,Sugarcane,2012,13154.91207660814,4,4,52205.13781434763,39050.22573773949,True
Europe,Corn,2007,87767.96351165409,2,1,54343.68296823301,33424.280543421075,True
Africa,Corn,2001,64649.63079781107,0,1,54449.891647712095,10199.739150098976,False
North America,Wheat,2019,70690.66737871243,3,5,45562.21978006419,25128.447598648243,True
Africa,Barley,2000,91151.7763504901,0,0,55903.92770467186,35247.84864581823,True
North America,Soybean,2004,62851.36583328186,3,3,56042.04990751925,6809.31592576261,False
North America,Rice,2008,34250.71985783368,3,2,54583.87134388834,20333.15148605466,True
Europe,Wheat,2016,82685.62581084332,2,5,45615.32411980373,37070.301691039596,True
South America,Wheat,2008,36942.86200731396,5,5,55357.540810593404,18414.678803279443,True
Asia,Sugarcane,2010,4388.582971232383,1,4,48287.35036473931,43898.767393506925,True
Europe,Rice,2014,83234.79614995973,2,2,49394.98936656467,33839.80678339506,True
Europe,Sugarcane,2005,35174.02234324628,2,4,52893.78941794485,17719.767074698568,True
South America,Soybean,2002,77609.61779693268,5,3,60595.38462098525,17014.233175947433,False
Asia,Wheat,2016,36913.0315719286,1,5,43921.099687188864,7008.068115260263,False
